# msg_type: STATUS
9561.047016 13
9561.069 13
9561.099 13
9561.109 13
9563.615349 6
9563.616607 10
9563.626607 10
9563.626607 10
9563.626607 10
9563.626795 6
9563.698444 6
9563.701273 6
9563.704083 6
9563.753 6
9563.793 6
9563.833 6
9564.414 17
9564.444 17
9564.45164 17
9564.454 17
9564.462979 12
9564.474 17
9564.484 17
9564.489146 17
9564.497607 10
9564.537953 12
9564.540781 12
9564.554 12
9564.567607 12
9564.574 12
9566.110213 3
9566.115866 3
9566.117 3
9566.137 3
9566.157 3
9566.177 3
9566.177 3
9566.310607 3
9566.310607 3
9566.317 15
9566.320607 3
9566.320607 3
9566.329655 15
9566.347 15
9566.357 15
9566.367 15
9566.391217 15
9566.397 15
9566.399682 15
9566.440607 15
9566.440607 15
9566.480607 15
9566.480607 15
9566.747 16
9566.757 16
9566.766232 16
9566.774693 16
9566.77756 16
9566.778 16
9566.808 16
9566.811607 7
9566.821607 7
9566.831607 7
9566.971607 7
9566.991607 4
9567.001607 4
9567.081607 4
9567.271607 3
9567.442607 15
9567.442607 15
9567.502607 15
9567.702607 7
9567.772607 7
9567.952607 4
9568.513607 2
9568.523607 2
9568.523607 2
9568.523607 2
9568.523607 2
9569.384607 2
9569.394607 2
9570.248394 18
9570.513 18
9570.693 18
9570.693 18
9570.783 18
9570.793 18
9570.974 18
9571.187607 19
9571.638607 19
9571.644 20
9571.885 20
9572.065 20
9572.138607 20
9572.189443 20
9572.235 20
9572.980607 19
9572.980607 19
9573.050607 5
9573.100607 5
9573.120607 8
9573.240607 5
9573.473346 14
9573.647 14
9573.648254 14
9573.707 14
9573.716857 14
9574.040212 14
9574.241607 5
9574.281607 8
9576.011 13
9576.053556 13
9576.071 13
9576.131 13
9576.178237 13
9576.233871 13
9576.361 13
9578.287607 10
9578.497607 10
9578.658607 10
9578.948607 10
9579.346 17
9579.38476 17
9579.426 17
9579.496 17
9579.69573 12
9579.708525 17
9579.779607 10
9579.846 12
9579.849607 10
9579.900607 10
9579.939404 12
9579.945041 12
9579.974825 17
9579.976 12
9580.067 12
9580.164028 12
9580.250607 10
9580.878 17
9581.782607 7
9582.043607 4
9582.083607 4
9582.533607 4
9583.224607 2
9583.334607 2
9583.715607 2
9585.277607 19
9585.407607 19
9586.476 20
9586.646 20
9586.648127 20
9587.007 20
9587.036915 20
9588.449 14
9588.544903 14
9588.559 14
9588.689 14
9588.719 14
9593.439607 10
9593.449607 10
9593.689607 10
9593.709607 10
9593.802597 17
9593.866 12
9593.881648 17
9593.890166 17
9593.89867 12
9593.90887 12
9593.917 17
9594.072408 12
9594.075248 17
9594.100607 10
9594.237 12
9594.611607 10
9594.821607 10
9595.6156 15
9595.618429 15
9595.629 15
9595.649 15
9596.05 16
9596.055279 16
9596.06 16
9596.060947 16
9596.06377 16
9596.453607 7
9596.513607 7
9596.794607 7
9597.385607 7
9598.096607 7
9598.306607 7
9598.566607 7
9599.938607 9


# msg_type: FLOWMSG
9500.752092 22
9502.438314 22
9503.557 22
9506.097603 22
9507.566943 22
9508.584 22
9508.804 22
9509.777806 22
9512.506716 22
9513.551 22
9514.833 22
9515.394 22
9517.375254 22
9518.706888 22
9519.88377 22
9522.043 22
9523.199193 22
9524.477 22
9525.638 22
9527.481769 22
9528.563 22
9529.841339 22
9531.079665 22
9532.110325 22
9537.586 22
9539.143594 22
9540.300925 22
9543.668049 22
9544.800265 22
9548.691 22
9549.843 22
9551.514809 22
9553.582576 22
9553.849969 22
9554.79 22
9555.882 22
9557.023 22
9558.631347 22
9559.717 22
9559.828 22
9561.059 22
9562.531 22
9563.966551 22
9568.84493 22
9568.931 22
9570.242 22
9572.376 22
9573.548691 22
9575.009 22
9576.031 22
9579.035 22
9580.072779 22
9581.298 22
9583.662 22
9584.924 22
9586.296 22
9588.469 22
9589.70608 22
9590.952304 22
9592.104 22
9593.796939 22
9598.755089 22


# msg_type: QUERYREPLY
9500.025607 11
9500.025607 11
9500.145607 8
9500.205607 7
9500.205607 5
9500.265607 5
9500.305607 7
9500.325607 7
9500.355607 2
9500.355607 2
9500.365607 2
9500.395607 9
9500.425607 2
9500.783 6
9500.816607 4
9500.816607 4
9500.976607 4
9500.986607 4
9501.026607 8
9501.036607 11
9501.166607 7
9501.166607 7
9501.166607 7
9501.176607 5
9501.226607 5
9501.337607 2
9501.357607 2
9501.357607 2
9501.357607 2
9501.417607 9
9501.632062 6
9501.817607 4
9501.817607 4
9501.877607 4
9501.957607 11
9501.977607 11
9502.118607 5
9502.118607 5
9502.128607 7
9502.128607 7
9502.248607 2
9502.248607 2
9502.248607 2
9502.829607 4
9502.869607 4
9503.089607 5
9503.129607 7
9503.129607 7
9503.129607 5
9503.219607 2
9503.229607 2
9503.239607 2
9503.279607 2
9503.780607 4
9503.780607 4
9503.900607 4
9504.030607 7
9504.030607 7
9504.131607 7
9504.131607 5
9504.171607 2
9504.171607 2
9504.221607 2
9504.792607 4
9504.882607 4
9505.022607 7
9505.022607 7
9505.192607 2
9505.192607 2
9505.192607 2
9505.252607 2
9505.252607 2
9505.626519 6
9505.743607 4
9505.743607 4
9505.973607 7
9505.973607 7
9506.043607 5
9506.123607 7
9506.133607 7
9506.193607 2
9506.193607 2
9506.193607 2
9506.204607 2
9506.651 6
9506.734607 4
9506.734607 4
9506.985607 7
9506.995607 5
9507.045607 7
9507.125607 2
9507.175607 2
9507.175607 2
9507.175607 2
9507.706607 4
9507.706607 4
9507.966607 7
9507.966607 7
9507.966607 5
