123-119 1.375358 1.000000 1 4 0.650827 99.1071
133-131 1.842105 1.000000 1 8 1.242758 99.1071
95-101 1.379043 1.000000 1 6 0.718697 99.1189
97-101 1.584821 1.000000 1 6 0.883602 99.1189
69-67 3.122807 3.000000 1 8 1.558373 99.1379
9-7 3.043716 3.000000 1 9 1.666640 99.1453
127-123 1.766462 1.000000 1 5 1.005435 99.5536
127-125 2.018779 1.000000 1 5 1.327993 99.5536
1-83 3.311494 4.000000 1 9 1.665246 99.5652
77-75 3.246920 3.000000 1 9 1.439211 99.5671
45-55 3.716564 4.000000 1 10 1.777682 99.5708
51-55 3.430488 4.000000 1 8 1.569930 99.5708
45-35 3.231051 4.000000 1 10 1.556331 99.5726
9-5 3.451977 4.000000 1 6 1.540126 99.5726
1-77 3.087747 3.000000 1 9 1.629510 100
1-79 3.458874 4.000000 1 6 1.591861 100
35-27 3.287477 3.000000 1 13 1.744302 100
47-35 2.789823 3.000000 1 10 1.465206 100
51-45 3.531228 4.000000 1 10 1.646102 100
51-47 1.260870 1.000000 1 4 0.558911 100
51-53 1.229508 1.000000 1 3 0.524590 100
53-35 1.945205 2.000000 1 5 1.145455 100
53-45 1.000000 1.000000 1 1 0.000000 100
55-45 4.411765 5.000000 1 12 2.131122 100
55-47 3.298810 3.000000 1 8 1.504754 100
55-51 4.045000 4.000000 1 12 1.959075 100
75-69 2.697917 2.000000 1 7 1.502813 100
77-1 1.147059 1.000000 1 2 0.354165 100
79-1 3.149485 3.000000 1 9 1.726086 100
79-75 1.500000 1.500000 1 2 0.500000 100
