Loading depthlist /home/mdw/src/tinyos/volcano2007/data/generated/depthlist.dat...
Depthlist opened, 9846 entries
DOWNLOAD: node 103 dltime 130.762561
DOWNLOAD: node 103 dltime 126.113039
DOWNLOAD: node 103 dltime 144.555121
DOWNLOAD: node 103 dltime 127.753273
DOWNLOAD: node 103 dltime 138.632907
DOWNLOAD: node 103 dltime 142.756830
DOWNLOAD: node 103 dltime 153.466270
DOWNLOAD: node 103 dltime 138.230860
DOWNLOAD: node 103 dltime 133.402922
DOWNLOAD: node 103 dltime 151.979971
DOWNLOAD: node 103 dltime 142.081645
DOWNLOAD: node 103 dltime 137.516706
DOWNLOAD: node 103 dltime 130.556199
DOWNLOAD: node 103 dltime 142.469557
DOWNLOAD: node 103 dltime 131.206376
DOWNLOAD: node 103 dltime 138.750218
DOWNLOAD: node 103 dltime 133.977517
DOWNLOAD: node 103 dltime 134.071084
DOWNLOAD: node 103 dltime 137.680912
DOWNLOAD: node 103 dltime 134.656212
DOWNLOAD: node 103 dltime 143.682663
DOWNLOAD: node 103 dltime 367.046483
DOWNLOAD: node 101 dltime 131.050964
DOWNLOAD: node 101 dltime 131.329703
DOWNLOAD: node 101 dltime 128.636541
DOWNLOAD: node 101 dltime 138.572972
DOWNLOAD: node 101 dltime 136.666430
DOWNLOAD: node 101 dltime 124.359416
DOWNLOAD: node 101 dltime 143.277530
DOWNLOAD: node 101 dltime 138.329237
DOWNLOAD: node 101 dltime 130.358285
DOWNLOAD: node 100 dltime 99.013591
DOWNLOAD: node 100 dltime 96.684334
DOWNLOAD: node 101 dltime 169.384893
DOWNLOAD: node 101 dltime 161.304209
DOWNLOAD: node 101 dltime 133.460369
DOWNLOAD: node 101 dltime 150.114845
DOWNLOAD: node 101 dltime 127.082610
DOWNLOAD: node 101 dltime 127.616627
DOWNLOAD: node 101 dltime 161.837949
DOWNLOAD: node 101 dltime 143.767569
DOWNLOAD: node 101 dltime 132.014879
DOWNLOAD: node 101 dltime 137.217441
DOWNLOAD: node 101 dltime 130.247514
DOWNLOAD: node 101 dltime 127.799813
DOWNLOAD: node 100 dltime 99.040888
DOWNLOAD: node 101 dltime 133.205157
DOWNLOAD: node 101 dltime 134.459011
DOWNLOAD: node 101 dltime 134.007932
DOWNLOAD: node 101 dltime 140.566263
DOWNLOAD: node 101 dltime 160.383777
DOWNLOAD: node 101 dltime 137.090054
DOWNLOAD: node 101 dltime 130.275421
DOWNLOAD: node 101 dltime 132.437349
DOWNLOAD: node 101 dltime 147.694403
DOWNLOAD: node 101 dltime 126.918725
DOWNLOAD: node 101 dltime 128.577393
DOWNLOAD: node 100 dltime 97.794633
DOWNLOAD: node 100 dltime 101.843842
DOWNLOAD: node 101 dltime 122.798310
DOWNLOAD: node 101 dltime 135.230440
DOWNLOAD: node 101 dltime 132.535723
DOWNLOAD: node 101 dltime 141.592179
DOWNLOAD: node 101 dltime 128.729415
DOWNLOAD: node 101 dltime 162.246814
DOWNLOAD: node 101 dltime 136.361136
DOWNLOAD: node 101 dltime 135.737016
DOWNLOAD: node 101 dltime 132.081277
DOWNLOAD: node 101 dltime 147.510496
DOWNLOAD: node 101 dltime 164.850320
DOWNLOAD: node 101 dltime 181.425555
DOWNLOAD: node 101 dltime 146.065584
DOWNLOAD: node 101 dltime 125.452030
DOWNLOAD: node 101 dltime 140.811458
DOWNLOAD: node 101 dltime 135.269671
DOWNLOAD: node 101 dltime 120.878232
DOWNLOAD: node 101 dltime 163.478696
DOWNLOAD: node 101 dltime 131.446124
DOWNLOAD: node 101 dltime 158.708547
DOWNLOAD: node 101 dltime 127.149877
DOWNLOAD: node 101 dltime 145.890186
DOWNLOAD: node 101 dltime 154.447518
DOWNLOAD: node 101 dltime 132.457205
DOWNLOAD: node 101 dltime 147.666963
DOWNLOAD: node 101 dltime 132.019562
DOWNLOAD: node 101 dltime 143.657563
DOWNLOAD: node 101 dltime 134.479289
DOWNLOAD: node 101 dltime 151.031113
DOWNLOAD: node 101 dltime 147.398940
DOWNLOAD: node 101 dltime 127.755913
DOWNLOAD: node 101 dltime 142.965465
DOWNLOAD: node 101 dltime 130.517760
DOWNLOAD: node 101 dltime 147.971827
DOWNLOAD: node 101 dltime 143.779254
DOWNLOAD: node 101 dltime 141.450402
DOWNLOAD: node 101 dltime 151.133010
DOWNLOAD: node 101 dltime 121.414278
DOWNLOAD: node 101 dltime 128.187307
DOWNLOAD: node 101 dltime 133.326816
DOWNLOAD: node 101 dltime 152.519597
DOWNLOAD: node 101 dltime 131.109096
DOWNLOAD: node 101 dltime 120.861722
DOWNLOAD: node 101 dltime 126.391062
DOWNLOAD: node 101 dltime 129.929966
DOWNLOAD: node 101 dltime 128.499002
DOWNLOAD: node 101 dltime 127.685968
DOWNLOAD: node 100 dltime 102.272741
DOWNLOAD: node 101 dltime 121.109011
DOWNLOAD: node 101 dltime 134.722040
DOWNLOAD: node 101 dltime 143.717934
DOWNLOAD: node 101 dltime 129.786263
DOWNLOAD: node 101 dltime 136.501221
DOWNLOAD: node 100 dltime 96.732203
DOWNLOAD: node 101 dltime 170.322864
DOWNLOAD: node 101 dltime 154.888607
DOWNLOAD: node 101 dltime 135.822273
DOWNLOAD: node 101 dltime 129.482730
DOWNLOAD: node 101 dltime 144.327713
DOWNLOAD: node 101 dltime 156.440601
DOWNLOAD: node 101 dltime 145.438189
DOWNLOAD: node 101 dltime 128.118024
DOWNLOAD: node 101 dltime 143.900502
DOWNLOAD: node 101 dltime 133.472731
DOWNLOAD: node 101 dltime 142.310901
DOWNLOAD: node 101 dltime 147.986364
DOWNLOAD: node 101 dltime 147.894720
DOWNLOAD: node 101 dltime 135.851611
DOWNLOAD: node 102 dltime 146.831540
DOWNLOAD: node 101 dltime 129.021851
DOWNLOAD: node 101 dltime 135.742448
DOWNLOAD: node 101 dltime 132.997303
DOWNLOAD: node 101 dltime 128.199179
DOWNLOAD: node 101 dltime 131.431620
DOWNLOAD: node 100 dltime 98.409190
DOWNLOAD: node 101 dltime 161.263990
DOWNLOAD: node 101 dltime 142.621882
DOWNLOAD: node 101 dltime 141.942187
DOWNLOAD: node 101 dltime 133.756866
DOWNLOAD: node 101 dltime 356.788509
DOWNLOAD: node 105 dltime 143.321445
DOWNLOAD: node 105 dltime 135.652909
DOWNLOAD: node 101 dltime 148.887219
DOWNLOAD: node 101 dltime 139.538753
DOWNLOAD: node 101 dltime 143.444934
DOWNLOAD: node 101 dltime 167.548344
DOWNLOAD: node 101 dltime 133.304002
DOWNLOAD: node 101 dltime 137.711736
DOWNLOAD: node 100 dltime 97.677206
