#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 49818 8203.147 6
 49819 8204.128 6
 49820 8205.094 6
 49821 8206.046 6
 49822 8207.036 6
 49823 8208.017 6
 49828 8212.895 13
 49831 8215.819 13
 49839 8223.710 13
 49842 8225.609 13
 49844 8226.580 13
 49859 8234.478 13
 49860 8234.481 13
 49861 8235.457 13
 49862 8235.423 13
 49863 8236.419 13
 49864 8236.394 13
 49865 8237.390 13
 49866 8237.376 13
 49869 8239.354 13
 49870 8239.357 13
 49875 8242.242 13
 49876 8242.244 13
 49879 8244.230 13
 49880 8244.226 13
 49881 8245.261 13
 49882 8245.264 13
 49885 8247.179 13
 49887 8248.183 13
 49888 8248.222 13
 49897 8253.079 13
 49901 8255.002 13
 49903 8256.948 13
 49904 8257.996 13
 49908 8260.934 13
 49909 8261.864 13
 49910 8261.901 13
 49911 8262.867 13
 49912 8262.843 13
 49924 8268.735 13
 49925 8269.717 13
 49926 8269.704 13
 49942 8277.864 13
 49952 8282.466 13
 49956 8285.450 13
 49957 8286.405 13
 49958 8287.392 13
 49961 8290.372 13
 49966 8295.290 13
 49967 8296.217 13
 49968 8296.220 13
 49969 8297.209 13
 49971 8298.169 13
 49976 8300.186 13
 49979 8302.088 13
 49980 8302.119 13
 49995 8309.990 13
 49996 8310.000 13
 49997 8310.966 13
 50011 8317.785 13
 50039 8331.524 13
 50040 8331.527 13
 50041 8332.527 13
 50042 8332.494 13
 50043 8333.478 13
 50044 8333.466 13
 50047 8335.447 13
 50048 8335.450 13
 50050 8336.404 13
 50059 8341.374 13
 50060 8341.496 13
 50062 8342.351 13
 50063 8343.322 13
 50064 8343.302 13
 50068 8345.235 13
 50069 8346.270 13
 50076 8349.208 13
 50082 8352.210 13
 50087 8355.053 13
 50089 8356.031 13
 50092 8357.041 13
 50095 8358.975 13
 50098 8360.012 13
 50099 8361.014 13
 50103 8362.851 13
 50105 8363.898 13
 50107 8364.876 13
 50108 8364.890 13
 50110 8365.788 13
 50113 8367.844 13
 50117 8369.710 13
 50118 8369.686 13
 50119 8370.689 13
 50120 8370.692 13
 50121 8371.679 13
 50122 8371.679 13
 50125 8373.672 13
 50126 8373.672 13
 50127 8374.637 13
 50130 8375.647 13
 50131 8376.600 13
 50132 8376.578 13
 50133 8377.522 13
 50134 8377.502 13
 50135 8378.569 13
 50159 8390.319 5
 50160 8390.330 5
 50162 8391.342 5
 50165 8393.310 5
 50166 8393.475 5
 50167 8394.257 5
 50169 8395.874 5
 50170 8395.874 5
 50171 8396.255 5
 50172 8396.264 5
 50173 8397.236 5
 50174 8397.239 5
 50175 8398.204 5
 50176 8399.202 5
 50179 8402.120 5
 50181 8404.115 5
 50182 8405.110 5
 50186 8409.095 5
 50187 8410.047 5
 50188 8410.974 5
 50189 8411.963 5
 50193 8498.294 13
 50195 8500.238 13
 50208 8513.027 13
 50210 8514.957 13
 50212 8516.905 13
 50213 8517.872 13
 50214 8518.850 13
 50216 8520.892 13
 50218 8522.764 13
 50220 8524.731 13
 50221 8525.706 13
 50222 8525.709 13
 50223 8526.691 13
 50224 8526.700 13
 50231 8530.597 13
 50232 8530.600 13
 50233 8531.598 13
 50234 8531.601 13
 50235 8532.554 13
 50236 8532.557 13
 50237 8533.536 13
 50238 8533.539 13
 50240 8534.473 13
 50242 8535.550 13
 50247 8538.378 13
 50249 8539.354 13
 50254 8541.427 13
 50257 8543.316 13
 50258 8543.319 13
 50259 8544.286 13
 50260 8544.289 13
 50261 8545.267 13
 50263 8546.243 13
 50268 8548.204 13
 50269 8549.180 13
 50282 8555.167 13
 50286 8557.013 13
 50288 8558.071 13
 50289 8559.023 13
 50296 8561.940 13
 50306 8566.823 13
 50307 8567.805 13
 50308 8567.807 13
 50316 8571.709 7
 50317 8572.666 7
 50322 8574.629 7
 50329 8578.555 7
 50330 8578.557 7
 50333 8580.517 7
 50334 8580.520 7
 50335 8581.506 7
 50337 8582.499 7
 50338 8582.501 7
 50339 8583.473 7
 50340 8583.476 7
 50341 8584.445 7
