#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 50210 8514.957 14
 50212 8516.905 14
 50213 8517.872 14
 50214 8518.850 14
 50216 8520.892 14
 50218 8522.764 14
 50220 8524.731 14
 50221 8525.706 14
 50222 8525.709 14
 50223 8526.691 14
 50224 8526.700 14
 50231 8530.597 14
 50232 8530.600 14
 50233 8531.598 14
 50234 8531.601 14
 50235 8532.554 14
 50236 8532.557 14
 50237 8533.536 14
 50238 8533.539 14
 50240 8534.473 14
 50242 8535.550 14
 50247 8538.378 14
 50249 8539.354 14
 50254 8541.427 14
 50257 8543.316 14
 50258 8543.319 14
 50259 8544.286 14
 50260 8544.289 14
 50261 8545.267 14
 50263 8546.243 14
 50268 8548.204 14
 50269 8549.180 14
 50282 8555.167 14
 50286 8557.013 14
 50288 8558.071 14
 50289 8559.023 14
 50296 8561.940 14
 50306 8566.823 14
 50307 8567.805 14
 50308 8567.807 14
 50316 8571.709 16
 50317 8572.666 16
 50322 8574.629 16
 50329 8578.555 16
 50330 8578.557 16
 50333 8580.517 16
 50334 8580.520 16
 50335 8581.506 16
 50337 8582.499 16
 50338 8582.501 16
 50339 8583.473 16
 50340 8583.476 16
 50341 8584.445 16
 50342 8584.447 16
 50344 8585.462 16
 50347 8587.380 16
 50348 8587.383 16
 50349 8588.377 16
 50350 8588.382 16
 50351 8589.337 16
 50352 8589.340 16
 50353 8590.328 16
 50355 8591.312 16
 50356 8591.315 16
 50359 8593.262 16
 50361 8594.261 16
 50364 8595.290 16
 50365 8596.208 16
 50366 8596.222 16
 50367 8597.173 16
 50368 8597.176 16
 50370 8598.152 16
 50372 8599.218 3
 50371 8599.326 16
 50374 8600.178 3
 50373 8600.178 3
 50376 8601.106 3
 50375 8601.119 3
 50377 8602.078 3
 50378 8602.094 3
 50379 8603.068 3
 50380 8603.087 3
 50381 8604.051 3
 50382 8604.066 3
 50384 8605.122 3
 50385 8606.000 3
 50387 8606.998 3
 50389 8607.994 3
 50390 8607.997 3
 50391 8609.055 3
 50392 8609.060 16
 50394 8610.044 16
 50395 8610.975 16
 50398 8611.970 16
 50399 8612.920 16
 50401 8613.959 16
 50402 8613.962 16
 50403 8614.870 16
 50405 8615.875 16
 50407 8616.912 16
 50409 8617.883 16
 50410 8617.885 16
 50411 8618.872 11
 50412 8618.874 11
 50413 8619.819 11
 50414 8619.836 11
 50419 8622.700 11
 50420 8622.829 3
 50421 8623.739 3
 50422 8623.741 3
 50427 8626.580 3
 50429 8627.627 3
 50434 8629.612 3
 50437 8631.532 3
 50440 8632.544 3
 50439 8632.544 3
 50442 8633.516 3
 50441 8633.526 3
 50443 8634.473 3
 50444 8634.476 3
 50445 8635.430 3
 50448 8636.440 3
 50449 8637.406 3
 50450 8637.409 16
 50451 8638.427 16
 50452 8638.433 16
 50453 8639.412 16
 50454 8639.414 16
 50456 8640.405 16
 50455 8640.437 16
 50457 8641.361 16
 50458 8641.364 16
 50459 8642.346 16
 50460 8642.349 16
 50461 8643.300 16
 50463 8644.290 16
 50464 8644.293 16
 50465 8645.264 16
 50466 8645.267 16
 50467 8646.246 16
 50468 8646.248 16
 50469 8647.248 16
 50470 8647.251 16
 50471 8648.183 16
 50475 8650.207 16
 50476 8650.210 16
 50477 8651.178 16
 50478 8651.181 16
 50480 8652.182 16
 50481 8653.125 16
 50482 8653.128 16
 50487 8656.065 16
 50489 8657.049 16
 50491 8658.181 16
 50496 8660.036 16
 50501 8662.965 16
 50504 8663.921 16
 50505 8664.981 16
 50506 8664.981 16
 50507 8665.893 16
 50508 8665.912 16
 50509 8666.889 16
 50511 8667.915 16
 50512 8667.920 16
 50513 8668.884 16
 50514 8668.887 16
 50519 8671.823 16
 50521 8672.795 16
 50523 8673.796 12
 50524 8673.799 12
 50529 8676.822 12
 50530 8676.825 12
 50531 8677.729 12
 50558 8690.531 13
 50562 8692.479 13
 50569 8696.390 13
 50572 8697.397 13
 50571 8697.397 13
 50575 8699.331 13
 50578 8700.290 13
 50580 8701.347 13
 50581 8702.244 13
 50582 8702.439 13
 50583 8703.225 13
 50584 8703.264 13
 50587 8705.255 13
 50588 8705.260 13
 50591 8707.199 13
 50592 8707.202 13
 50593 8708.212 13
 50594 8708.215 13
 50599 8711.092 13
 50600 8711.095 13
 50601 8712.059 13
 50611 8716.969 13
 50612 8716.972 13
 50613 8717.974 13
 50614 8717.976 13
 50617 8719.934 4
 50621 8721.909 4
 50623 8722.924 4
 50626 8723.795 4
 50628 8724.854 4
 50741 8780.530 8
 50742 8780.533 8
 50743 8781.478 8
 50744 8781.548 8
 50745 8782.444 8
 50746 8782.460 8
 50747 8783.429 8
 50748 8783.395 8
 50750 8784.423 8
 50752 8785.428 8
 50753 8786.309 8
 50755 8787.426 8
 50756 8787.493 8
 50757 8788.276 8
 50759 8789.300 8
 50760 8789.372 8
 50761 8790.327 8
 50762 8790.321 8
 50763 8791.277 8
 50764 8791.280 8
 50765 8792.237 8
 50766 8792.243 8
 50767 8793.215 8
 50768 8793.177 8
 50769 8794.407 8
 50771 8795.278 8
 50772 8795.282 8
 50773 8796.129 8
 50774 8796.108 8
 50776 8797.131 8
 50775 8797.131 8
 50777 8798.089 8
 50778 8798.044 8
 50779 8799.129 8
 50780 8799.134 8
 50782 8800.055 8
 50781 8800.063 8
 50783 8800.992 8
 50784 8800.995 8
 50785 8801.987 8
 50787 8802.964 8
 50788 8802.945 8
 50789 8803.951 8
 50790 8803.969 8
 50792 8805.011 8
 50794 8805.869 8
