#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
57794 478.250 3
57795 478.531 3
57796 479.531 3
57797 479.844 3
57798 479.969 3
57799 480.656 3
57800 480.719 3
57801 481.156 3
57802 481.188 3
57803 481.969 3
57804 482.969 3
57805 483.500 3
57806 483.375 3
57807 484.188 3
57808 484.938 3
57810 485.000 3
57811 485.906 3
57812 486.062 3
57813 486.875 3
57815 487.875 3
57817 488.844 3
57818 488.875 3
57819 489.812 3
57821 490.812 3
57822 490.844 3
57823 491.781 3
57824 491.844 3
57825 492.781 3
57826 493.938 3
57827 493.750 3
57828 493.812 3
57829 494.719 3
57831 495.688 3
57832 495.969 3
57833 496.688 3
57834 496.969 3
57835 497.656 3
57836 498.469 3
57837 498.656 3
57838 498.750 3
57839 499.625 3
57840 500.438 3
57841 500.594 3
57842 500.656 3
57843 501.562 3
57844 501.625 3
57845 502.562 3
57846 502.625 3
57847 503.531 3
57848 503.812 3
57849 504.500 3
57850 504.562 3
57851 505.500 3
57852 505.531 3
57853 506.500 3
57854 507.312 3
57855 507.469 3
57856 507.500 3
57857 508.438 3
57858 508.469 3
57859 509.438 3
57860 510.000 3
57861 510.406 3
57862 511.375 3
57863 511.438 3
57864 511.656 3
57865 512.344 3
57866 512.375 3
57867 513.844 3
57868 514.312 3
57869 514.312 3
57870 514.375 3
57871 515.312 3
57872 516.094 3
57873 516.281 3
57874 517.250 3
57876 517.375 3
57877 518.250 3
57878 519.281 3
57879 520.125 3
57880 520.219 3
57881 520.469 3
57882 521.188 3
57883 523.156 3
57884 523.188 3
57885 523.469 3
57886 523.719 3
57887 524.156 3
57888 524.812 3
57889 525.094 3
57890 525.188 3
57892 525.250 3
57893 526.094 3
57894 527.062 3
57895 527.094 3
57896 527.125 3
57897 528.031 3
57898 528.312 3
57899 529.031 3
57900 529.875 3
57901 530.031 3
57903 530.969 3
57904 531.750 3
57905 532.625 3
57906 532.688 3
57907 532.938 3
57908 533.906 3
57909 535.094 3
57910 534.906 3
57911 535.406 3
57912 536.875 3
57913 537.219 3
57914 537.344 3
57915 537.906 3
57916 537.688 3
57917 537.844 3
57918 538.531 3
57919 539.812 3
57920 540.625 3
57921 540.969 3
57922 541.781 3
57923 541.844 3
57924 542.531 3
57925 543.250 3
57926 543.594 3
57927 543.719 3
57928 544.250 3
57929 544.594 3
57930 544.719 3
57932 545.031 3
57933 545.688 3
57934 546.688 3
57936 547.031 3
57937 547.656 3
57938 548.156 3
57939 548.625 3
57940 548.906 3
57941 549.625 3
57943 550.594 3
57944 550.625 3
57945 551.562 3
57946 551.938 3
57947 552.562 3
57949 553.531 3
57950 553.906 3
57951 554.500 3
57952 554.562 3
57953 555.500 3
57954 556.375 3
57955 556.469 3
57956 556.750 3
57957 557.469 3
57958 557.500 3
57959 558.438 3
57960 558.469 3
57961 559.406 3
57963 560.406 3
57965 561.375 3
57966 561.656 3
57967 562.344 3
57968 562.906 3
57969 563.344 3
57970 563.375 3
57971 564.312 3
57972 564.594 3
57973 565.281 3
57974 565.312 3
57975 566.281 3
57976 566.312 3
57977 567.250 3
57978 567.531 3
57979 568.219 3
57980 569.219 3
57981 570.188 3
57982 570.938 3
57983 571.188 3
57984 572.719 3
57985 573.031 3
57986 573.156 3
57987 574.094 3
57988 574.656 3
57989 574.688 3
57990 576.094 3
57991 575.125 3
57992 576.531 3
57993 576.562 3
57994 576.938 3
57995 577.000 3
57996 578.906 3
57997 578.750 3
57998 580.000 3
57999 580.281 3
58000 580.438 3
58001 580.969 3
58002 582.188 3
58003 582.219 3
58004 582.938 3
58005 583.906 3
58007 584.000 3
58008 584.281 3
58009 584.062 3
58010 585.188 3
58011 584.938 3
58012 585.844 3
58013 585.875 3
58014 586.844 3
58015 587.094 3
58016 587.688 3
58017 587.719 3
58018 587.844 3
58019 588.344 3
58020 588.375 3
58021 589.094 3
58023 589.781 3
58024 589.938 3
58025 590.750 3
58026 591.594 3
58027 591.750 3
58028 591.781 3
58029 592.719 3
58030 593.438 3
58031 594.250 3
58032 594.344 3
58033 594.688 3
58034 594.719 3
58035 595.688 3
58036 595.719 3
58037 596.750 3
58038 596.781 3
58039 597.625 3
58040 597.781 3
58041 599.594 3
58042 600.125 3
58043 600.250 3
58044 600.250 3
58045 600.562 3
58046 602.312 3
58047 602.312 3
58048 602.531 3
58049 603.500 3
58050 604.500 3
58053 606.969 9
58054 607.219 9
58055 607.281 9
58056 607.438 9
58057 607.844 9
58058 607.969 9
58059 608.250 9
58060 608.281 9
58061 608.406 9
58062 608.656 9
58063 609.406 9
58064 609.656 9
58065 610.375 9
58066 610.406 9
58067 611.344 9
58068 612.344 9
58070 612.406 9
58071 613.312 9
58072 613.375 9
58073 614.281 9
58075 615.281 9
58076 615.375 9
58077 616.250 9
58078 616.531 9
58079 617.250 9
58080 617.281 9
58082 618.250 9
58083 619.188 9
58084 619.750 9
58085 620.188 9
58086 620.188 9
58087 621.406 9
58089 622.125 9
58090 622.156 9
58091 623.125 9
58092 623.125 9
58093 624.094 9
58094 624.344 9
58095 625.062 9
58096 625.375 9
58097 626.312 9
58098 626.562 9
58099 627.031 9
58100 627.062 9
58101 628.000 9
58103 628.969 9
58106 630.938 9
58107 631.469 9
58108 631.469 9
58109 631.906 9
58110 632.188 9
58111 632.906 9
58112 632.938 9
58113 633.875 9
58114 634.188 9
58115 634.844 9
58116 634.875 9
58117 635.844 9
58118 636.375 9
58119 637.344 9
58120 637.625 9
58121 637.812 9
58122 637.812 9
58123 638.781 9
58124 638.812 9
58125 639.750 9
58126 640.031 9
58127 641.281 9
58128 641.281 9
58129 641.719 9
58130 641.719 9
58131 642.688 9
58132 642.719 9
58133 643.656 9
58135 644.656 9
